Image,Mean_Color,Num_Contours,Num_Edges,Text
3.jpg,"[120.40656887755102, 118.5791015625, 129.6044921875]",1,1447125,
30.jpg,"[118.99653220663265, 117.10154257015306, 130.5315489477041]",1,1490730,
31.jpg,"[118.33631616709184, 116.36537388392857, 129.79948580994898]",1,1455285,
32.jpg,"[116.67255261479592, 115.00213249362245, 128.37593670280611]",1,1459620,
33.jpg,"[116.32844387755102, 114.85443239795919, 128.54932637117346]",1,1368330,
34.jpg,"[116.36208545918367, 114.90788424744898, 128.98301977040816]",1,1518270,
35.jpg,"[116.1782525510204, 114.85953443877551, 128.91159119897958]",1,1456305,
36.jpg,"[116.16238839285714, 114.8149115114796, 129.02176339285714]",1,1532040,
37.jpg,"[116.46861049107143, 115.19632892219387, 129.58454241071428]",1,1500165,
38.jpg,"[117.0992506377551, 115.79185267857143, 130.3087930484694]",1,1524900,
39.jpg,"[116.61838329081633, 115.26743861607143, 129.6770567602041]",1,1482570,
4.jpg,"[120.85100446428571, 118.97293526785714, 129.95119180484693]",1,1421115,
40.jpg,"[116.09937021683673, 114.9844746492347, 128.92055963010205]",1,1494045,
41.jpg,"[117.33665497448979, 115.59695870535714, 129.8789660395408]",1,1507305,
42.jpg,"[117.71480389030613, 116.36397879464286, 130.22634327168367]",1,1426470,
43.jpg,"[119.27090640943878, 117.68967235331633, 131.83258928571428]",1,1490475,
44.jpg,"[118.72297512755102, 117.4583665497449, 131.6630859375]",1,1571310,
45.jpg,"[118.841796875, 117.59024234693878, 131.7744140625]",1,1570290,
46.jpg,"[119.2837213010204, 117.93598533163265, 132.19318000637756]",1,1561365,
47.jpg,"[119.46424585459184, 117.81242028061224, 131.7384805484694]",1,1583295,
48.jpg,"[119.23999521683673, 117.66844706632654, 131.43253746811226]",1,1608540,
49.jpg,"[119.53150908801021, 117.70075334821429, 131.22345344387756]",1,1473135,
5.jpg,"[120.85100446428571, 118.97293526785714, 129.95119180484693]",1,1421115,
50.jpg,"[119.27092633928571, 117.39255819515306, 130.6912069515306]",1,1459875,
51.jpg,"[119.84349091198979, 117.93684231505102, 130.60951450892858]",1,1476705,
52.jpg,"[120.93809789540816, 118.82690927933673, 131.31118463010205]",1,1451205,
53.jpg,"[121.33404416454081, 119.40451610331633, 131.3273078762755]",1,1533825,
54.jpg,"[121.00348772321429, 119.32764668367346, 131.2923509247449]",1,1505775,
55.jpg,"[119.61352040816327, 118.16816804846938, 130.2723612882653]",1,1539690,
56.jpg,"[119.50858976403062, 117.94559151785714, 129.9337531887755]",1,1500420,
57.jpg,"[118.82551419005102, 117.23746412627551, 129.46825175382654]",1,1417290,
58.jpg,"[118.29900749362245, 116.70208864795919, 129.33832908163265]",1,1402500,
59.jpg,"[118.11505500637755, 116.45774872448979, 129.28766741071428]",1,1469055,
6.jpg,"[120.78421954719387, 118.93415178571429, 130.2057557397959]",1,1416270,
60.jpg,"[118.47112165178571, 116.57254464285714, 129.41262755102042]",1,1375215,
61.jpg,"[119.12414301658163, 117.81564891581633, 130.70007573341837]",1,1318860,
62.jpg,"[120.08111447704081, 118.42753507653062, 131.91759008290816]",1,1411680,
63.jpg,"[121.02283960459184, 119.87856744260205, 133.2198860012755]",1,1488435,
64.jpg,"[121.02283960459184, 119.87856744260205, 133.2198860012755]",1,1488435,
65.jpg,"[122.73455436862245, 121.18000637755102, 134.7754902742347]",1,1460385,
66.jpg,"[122.65826291454081, 120.8575215242347, 134.55221619897958]",1,1443300,
67.jpg,"[123.02385602678571, 121.01662149234694, 134.62211017219389]",1,1416270,
68.jpg,"[121.82734773596938, 120.07798549107143, 133.03585379464286]",1,1387200,
69.jpg,"[121.38374920280613, 119.96801259566327, 132.1347058354592]",1,1252305,
